FaqCategoryFaqId,FaqId,FaqSortOrder,FaqQuestion,FaqAnswer,FaqDescription,FaqCategoryId,CategoryTitle,CategoryDescription,CategorySortOrder,RoleIds,DenyRoleIds,IsCommonlyAsked,ContentGroupIds,PortalId
39029,39195,1,Alice Test Token,"<p></p><p>Reusable Data:</p>
<p>[Portal:Static:9.14 Test Token update,Alice Test token Update|f68e9279-7259-40a4-a314-108aabf9560b]</p>
<p>Play Year:&nbsp;[Portal:Data:System: Data Token,Medical plan year|2d1d6d0f-0ac2-41bd-8514-9ca4fbc0e5fa]</p>
<p>Benefit Name:&nbsp;[Portal:Data:System: Data Token,sdas|2a390327-3e13-46b0-ac97-e3368478058e]</p>
<p>Vendor Name: [Portal:Data:System: Data Token,Value Test|f8897ca2-e450-4208-b0f2-c82a48b25183]</p>
<table><tbody><tr><td>[Portal:Data:System: Data Token,Vision Coverage|54b6dae4-061e-4814-92b8-4f51d37eb05e|N0]</td></tr><tr><td>&nbsp;</td></tr><tr><td>[Portal:Data:System: Data Token,Vision Benefit Name|d9d79c19-daff-43bf-a2ec-d2e52eb4b18a]</td></tr><tr><td>[Portal:Data:System: Data Token,Vision plan year|336bfea9-cd15-43bd-93cb-dcd0b4ae16d3]</td></tr><tr><td>[Portal:Data:System: Data Token,Vision - Provider Link|48792451-5cfd-4329-886d-87e384996ced]</td></tr><tr><td>[Portal:Data:System: Data Token,Vision - Custom Message|16c6b403-c1cf-4064-899b-1151e933b470]</td></tr></tbody></table>
<p>&nbsp;</p>
<table><tbody><tr><td>[Portal:Data:System: Data Token,ewq|6f0edba5-f837-447f-9842-c8ef8f26f59c|N2]</td></tr><tr><td>[Portal:Data:System: Data Token,Vision Benefit Name|d9d79c19-daff-43bf-a2ec-d2e52eb4b18a]</td></tr><tr><td>[Portal:Data:System: Data Token,Null Value Test|91a93bd6-cce6-4b34-be81-c47b767fe267|N2]</td></tr><tr><td>[Portal:Data:System: Data Token,Vision plan year|336bfea9-cd15-43bd-93cb-dcd0b4ae16d3]</td></tr></tbody></table>",Alice Test Token,15344,Alice Test Token,Alice Test Token,8,,,False,",-1,",905
40670,40836,2,search faqs,<p>Buwan ng Wika JANIN390</p>,test,15344,Alice Test Token,Alice Test Token,8,,,True,",-1,",905
41020,41186,3,Japan Local Faq?,"<p>Hai, Arrigato</p>",Dokodesu,15344,Alice Test Token,Alice Test Token,8,,,True,",-1,",905
44309,44475,1,test 3,<p>test 3</p>,test 3,17990,Alice_new_catogory_testing,Alice_new_catogory_testing,13,,,True,",-1,",905
44308,44474,2,test 2,<p>test 2</p>,test 2,17990,Alice_new_catogory_testing,Alice_new_catogory_testing,13,,,True,",-1,",905
44307,44473,3,test,<p>test</p>,test,17990,Alice_new_catogory_testing,Alice_new_catogory_testing,13,",89188,",,True,",-1,",905
44310,44476,4,test 4,<p>test 4</p>,test 4,17990,Alice_new_catogory_testing,Alice_new_catogory_testing,13,,,True,",-1,",905
46620,46786,1,does the token work,"<p>yes, click the token&nbsp; &nbsp;[Portal:Document:7d42779a-31c3-490b-95cb-30bef32a938b]</p>",tokens in faq askhr,19168,AskHR,FAQ for AskHR,16,,,True,",-1,",905
51066,51316,3,What are included on my retirement package? Edit,<p>You are entitle for: !@#$%^& @#$%^&*<br><br>Testing CPI-2826 ==&gt; EDITED!!</p>,What are included on my retirement package?,21636,"Chatbot ","Chatbot ",1,,,False,",-1,",905
58222,58637,4,What is my Supplemental Life Insurance?,"<p></p><p>You are enrolled in the <br>[Portal:Data:System: Data Token,Basic Life - Option Name|4673058c-1c5f-469e-82f7-df1a33aff350]<br></p><p>with amount<br></p><p>[Portal:Data:System: Data Token,Supplemental Life Insurance - Coverage Amount|c8f1e78e-909d-42b0-baf7-42cbb0eb8eb9|C0]</p><p></p>",What is my Supplemental Life Insurance?,21636,"Chatbot ","Chatbot ",1,,,False,",-1,",905
58223,58638,5,What is my Basic Life Benefits?,"<p></p><p>You are enrolled in the [Portal:Data:System: Data Token,Basic Life - Option Name|4673058c-1c5f-469e-82f7-df1a33aff350]<br></p><p>&nbsp;with amount<br></p><p>[Portal:Data:System: Data Token,Basic Life Coverage Amount|ccd4fbf0-1fb0-4f68-8a6d-80fd47b102dd|C0]</p><p></p>",What is my Basic Life Benefits?,21636,"Chatbot ","Chatbot ",1,,,False,",-1,",905
58315,58730,6,This is a test for UIPath tool,<p>This is a test for UIPath tool</p>,Chatbot Test Tool,21636,"Chatbot ","Chatbot ",1,,,False,",-1,",905
18373,18515,1,Will my dental plan require a specialist referral?,<p>HealthPlan options do not require a referral. Notify your primary care dentist for any treatment options. </p><ul><li>Chrome test list</li><li>2nd item</li></ul>,,6549,Dental Health,Dental Health,3,,,True,",-1,",905
44700,44866,2,What dental options do I have?,<p>You have the following dental options:</p>,Dental options,6549,Dental Health,Dental Health,3,,,True,",-1,",905
18383,18525,1,When can I enroll in benefits?,"<p>You can enroll in or make changes to your benefits each year during annual enrollment; you can change your benefits during the year only when you have a qualified status change. Also, you must re-certify and re-enroll your dependents who are full-time students age 19 or older. &nbsp;&nbsp;</p>",When can I enroll in benefits?,6553,Enrollment,Enrollment,10,,,False,",-1,",905
18384,18526,2,How do I know whether I am a full-time associate or a part- time associate?,-Full-time associates are scheduled to work 30 hours or more each week.&nbsp;<br />-Part-time associates are scheduled to work less than 30 hours each week,,6553,Enrollment,Enrollment,10,,,False,",-1,",905
18385,18527,3,How can I change my benefit elections during the year?,"The benefit elections you make during annual enrollment or as a new hire remain in effect for the entire year unless you experience a qualified status change. According to the IRS, a qualified work or family status change includes birth, adoption, marriage, divorce, death, a change in your employment status or your spouse&rsquo;s, a change in your dependent&rsquo;s eligibility for his or her employer&rsquo;s plans, or becoming eligible for Medicare or Medicaid. In any of these cases, you have the ability to make changes to your benefits. The change must be consistent with your change in status.",,6553,Enrollment,Enrollment,10,,,True,",-1,",905
43778,43944,4,new question,"<p>[Portal:Document:Documents/9x HR Portal Client Test Plan@#$^.xlsx |6b9e8fbf-c87f-41cd-bbc7-9bd82cfec7fb</p><p>[Portal:Document:6b9e8fbf-c87f-41cd-bbc7-9bd82cfec7fb]</p><p><br><a href=""[Portal:Document:6b9e8fbf-c87f-41cd-bbc7-9bd82cfec7fb]"" target=""_blank"">Document</a><br></p>",9003,6553,Enrollment,Enrollment,10,,,False,",-1,",905
18376,18518,1,What are the holidays this year?,"<ul><li><a href=""https://en.wikipedia.org/wiki/Christmas"">Christmas&nbsp;</a></li><li><a href=""https://en.wikipedia.org/wiki/Thanksgiving"">Thanksgiving</a></li><li>Independence Day</li></ul>",,6551,Holidays,Holidays,6,,,False,",-1,",905
18374,18516,1,How to select an Urgent Care.,"Review a list of your providers.&nbsp;<a href=""http://nextcare.com/"" title=""Click Here - Same Window"">NextCare</a>",,6550,Medical,Medical,4,,,True,",-1,",905
18375,18517,2,How do I change my election during the year?,"Choices made during open enrollment remain in effect for the entire year. ",,6550,Medical,Medical,4,,,True,",-1,",905
18386,18528,3,Will I receive new ID card(s)?,"You will only receive new ID cards if you have made a change to your coverage. &nbsp;If you have not made a change, you will not receive new cards.&nbsp;",,6550,Medical,Medical,4,,,False,",-1,",905
42659,42825,4,What is my deductible?,"<p>It is :[Portal:Data:System: Data Token,Medical|82f8413c-2710-4b6a-a364-4cc506371dcf|N2]</p>",What is my deductible?,6550,Medical,Medical,4,,,False,",-1,",905
35124,35290,5,What is the Aetna plan?,"<p>Click on the link <a href=""[Portal:Document:Documents/Robt Test Secure/Robert Test Sub1 Secur/Aetna High Deductible detailed plan summary.pdf |8851e26a-96da-4840-bcce-49833ec410c7]"">get an answer</a> to view the document.</p>",Test doc token in link,6550,Medical,Medical,4,,,False,",-1,",905
57319,57734,6,Are brain implants covered?,<p>Brain implants are not covered unless they include company-built AI for your current role.</p>,Brain implants,6550,Medical,Medical,4,,,False,",-1,",905
48771,48997,1,What is my personal information?,"<p>My information, as of&nbsp;Portal:Data:System: Data Token,chikka|c1c719f5-f8f1-4925-803e-346a6eda412f]:</p><ul><li>Deductible:&nbsp;[Portal:Data:System: Data Token,uil|c7f1cc59-1a17-47cc-b5a1-904741320e59]</li><li>Amount: [Portal:Data:System: Data Token,3|b9530062-a7c6-4086-8655-37c251415463]</li><li>Annual contribution:&nbsp;[Portal:Data:System: Data Token,1|e0dec598-b42c-49b3-9ec5-421208819c8e]</li><li>Annual contribution: [Portal:Data:System: Data Token,Employer Health Reimbursement Annual Contribution|55d06cc8-96d2-4018-b4af-c248adf2f182|C0]</li><li>Coverage amount: [Portal:Data:System: Data Token,Pension BA Subplan Regular Q Coverage Amount|205c1c82-d3d0-40ee-8814-5e3fbf78304b|dd MMM]</li><li>IRS limit: [Portal:Data:System: Data Token,Health Care FSA|c6764a6b-1558-4926-88c3-b3aba1c81e9b|C0]</li></ul>",What is my personal information?,20296,My Information,My Information,2,,,False,",-1,",905
58931,59346,2,How much PTO do I have?,<p>You have 39.5 hours of&nbsp;PTO</p>,PTO,20296,My Information,My Information,2,,,False,",-1,",905
44926,45092,1,Q1,<p>A1</p>,1,16460,S FAQ 1 test,desc,14,,,False,",-1,",905
44927,45093,2,Q2,<p>A2</p>,2,16460,S FAQ 1 test,desc,14,,,False,",-1,",905
41275,41441,1,test,<p>test</p>,test,16477,test,test,11,,,False,",-1,",905
41109,41275,1,Japan Local Faq? test01,<p>Test this answer</p>,Japan Local Faq,16360,test,test,9,",90457,",,False,",-1,",905
44765,44931,3,A test1,<p>Atest1</p>,A test1,16360,test,test,9,,,False,",-1,",905
44766,44932,4,A Test2,<p>A Test2</p>,A Test2,16360,test,test,9,,,False,",-1,",905
44767,44933,5,A Test3,<p>A Test3</p>,A Test3,16360,test,test,9,,,False,",-1,",905
44768,44934,6,"A test 4 ",<p>A test 4&nbsp;</p>,"A test 4 ",16360,test,test,9,,,False,",-1,",905
